Relatório Atividades;;;;;;;
;;;;;;;
Gerado em: 03/07/2026 10:15:49;;;;;;;
;;;;;;;
Detalhamento: Atividade;;;;;;;
;;;;;;;
UF filtrada: Ignorado (detalhamento por Atividade);;;;;;;
;;;;;;;
Caderno filtrado: Ignorado;;;;;;;
;;;;;;;
Atividades: Todas as atividades;;;;;;;
;;;;;;;
Atividade;Total de perfis;Básicos;Completos;Campanhas;Capa;Tel. a atualizar;E-mails a atualizar
COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA MOTOCICLETAS E MOTONETAS;56750;56750;0;0;0;375;7687
COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES;149318;149318;0;0;0;1249;17366
COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA MOTOCICLETAS E MOTONETAS;3016;3016;0;0;0;22;107
COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES;21081;21081;0;0;0;130;2084
COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS-DE-AR;11955;11955;0;0;0;89;1711
COMÉRCIO ATACADISTA DE ALGODÃO;13;13;0;0;0;0;1
COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;2838;2838;0;0;0;15;306
COMÉRCIO ATACADISTA DE ANIMAIS VIVOS;610;610;0;0;0;4;65
COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO;1364;1364;0;0;0;42;92
COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARINHO;1078;1078;0;0;0;25;129
COMÉRCIO ATACADISTA DE ARTIGOS DE CAMA, MESA E BANHO;647;647;0;0;0;6;74
COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA;1855;1855;0;0;0;22;223
COMÉRCIO ATACADISTA DE ARTIGOS DE TAPEÇARIA;12;12;0;0;0;0;12
"COMÉRCIO ATACADISTA DE ARTIGOS DE TAPEÇARIA; PERSIANAS E CORTINAS";280;280;0;0;0;1;47
COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS, EXCETO PROFISSIONAIS E DE SEGURANÇA;6578;6578;0;0;0;87;827
COMÉRCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS;194;194;0;0;0;1;39
COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS;435;435;0;0;0;2;49
COMÉRCIO ATACADISTA DE AÇÚCAR;57;57;0;0;0;0;12
COMÉRCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;577;577;0;0;0;1;64
COMÉRCIO ATACADISTA DE BEBIDAS NÃO ESPECIFICADAS ANTERIORMENTE;1343;1343;0;0;0;25;89
COMÉRCIO ATACADISTA DE BICICLETAS, TRICICLOS E OUTROS VEÍCULOS RECREATIVOS;237;237;0;0;0;5;23
COMÉRCIO ATACADISTA DE BOLSAS, MALAS E ARTIGOS DE VIAGEM;630;630;0;0;0;19;48
COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES;12;12;0;0;0;0;12
"COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS";385;385;0;0;0;1;45
COMÉRCIO ATACADISTA DE CACAU;104;104;0;0;0;1;5
COMÉRCIO ATACADISTA DE CAFÉ EM GRÃO;249;249;0;0;0;4;23
COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍDO E SOLÚVEL;371;371;0;0;0;3;22
COMÉRCIO ATACADISTA DE CALÇADOS;926;926;0;0;0;4;113
COMÉRCIO ATACADISTA DE CARNES BOVINAS E SUÍNAS E DERIVADOS;1004;1004;0;0;0;10;140
COMÉRCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS;88;88;0;0;0;0;12
COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS;1221;1221;0;0;0;19;193
COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FÉCULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;585;585;0;0;0;2;84
COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE;923;923;0;0;0;2;94
COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES;974;974;0;0;0;6;164
COMÉRCIO ATACADISTA DE CIGARROS, CIGARRILHAS E CHARUTOS;2;2;0;0;0;0;1
COMÉRCIO ATACADISTA DE CIMENTO;314;314;0;0;0;3;32
COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE ORIGEM MINERAL EM BRUTO;10;10;0;0;0;0;1
COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE ORIGEM VEGETAL, EXCETO ÁLCOOL CARBURANTE;922;922;0;0;0;7;159
COMÉRCIO ATACADISTA DE COMBUSTÍVEIS REALIZADO POR TRANSPORTADOR RETALHISTA (T.R.R.);28;28;0;0;0;0;1
COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;1518;1518;0;0;0;31;106
COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA;3750;3750;0;0;0;34;359
COMÉRCIO ATACADISTA DE COUROS, LÃS, PELES E OUTROS SUBPRODUTOS NÃO COMESTÍVEIS DE ORIGEM ANIMAL;397;397;0;0;0;4;74
COMÉRCIO ATACADISTA DE DEFENSIVOS AGRÍCOLAS, ADUBOS, FERTILIZANTES E CORRETIVOS DO SOLO;2175;2175;0;0;0;12;190
COMÉRCIO ATACADISTA DE EMBALAGENS;4981;4981;0;0;0;55;439
COMÉRCIO ATACADISTA DE ENERGIA ELÉTRICA;1;1;0;0;0;1;0
COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;1587;1587;0;0;0;25;185
COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉTRICOS DE USO PESSOAL E DOMÉSTICO;794;794;0;0;0;32;58
COMÉRCIO ATACADISTA DE FARINHAS, AMIDOS E FÉCULAS;282;282;0;0;0;5;50
COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS;2599;2599;0;0;0;28;315
COMÉRCIO ATACADISTA DE FILMES, CDS, DVDS, FITAS E DISCOS;97;97;0;0;0;3;23
COMÉRCIO ATACADISTA DE FIOS E FIBRAS BENEFICIADOS;257;257;0;0;0;3;28
COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTALIÇAS E LEGUMES FRESCOS;4794;4794;0;0;0;49;570
COMÉRCIO ATACADISTA DE FUMO BENEFICIADO;113;113;0;0;0;1;19
COMÉRCIO ATACADISTA DE FUMO EM FOLHA NÃO BENEFICIADO;44;44;0;0;0;0;6
COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS;4179;4179;0;0;0;42;302
COMÉRCIO ATACADISTA DE LEITE E LATICÍNIOS;723;723;0;0;0;4;98
COMÉRCIO ATACADISTA DE LIVROS, JORNAIS E OUTRAS PUBLICAÇÕES;522;522;0;0;0;7;83
COMÉRCIO ATACADISTA DE LUBRIFICANTES;453;453;0;0;0;6;54
COMÉRCIO ATACADISTA DE LUSTRES, LUMINÁRIAS E ABAJURES;272;272;0;0;0;5;23
COMÉRCIO ATACADISTA DE MADEIRA E PRODUTOS DERIVADOS;2357;2357;0;0;0;22;338
COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCIAS;192;192;0;0;0;1;32
COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL;3301;3301;0;0;0;21;375
COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO;1571;1571;0;0;0;15;168
COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;219;219;0;0;0;1;36
COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS NÃO ESPECIFICADAS ANTERIORMENTE;568;568;0;0;0;2;71
COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO;1784;1784;0;0;0;13;167
COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO VETERINÁRIO;312;312;0;0;0;3;36
COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE INSUMOS AGROPECUÁRIOS;1830;1830;0;0;0;8;152
COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS;2872;2872;0;0;0;19;306
COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINÂNCIA DE ALIMENTOS OU DE INSUMOS AGROPECUÁRIOS;1909;1909;0;0;0;29;170
COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO COMERCIAL;51;51;0;0;0;0;51
"COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO COMERCIAL; PARTES E PEÇAS";1390;1390;0;0;0;15;128
COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL;148;148;0;0;0;0;148
"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUÁRIO; PARTES E PEÇAS";2930;2930;0;0;0;15;273
"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO ODONTO-MÉDICO-HOSPITALAR; PARTES E PEÇAS";1110;1110;0;0;0;5;97
"COMÉRCIO ATACADISTA DE MÁQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERAÇÃO E CONSTRUÇÃO; PARTES E PEÇAS";508;508;0;0;0;6;36
COMÉRCIO ATACADISTA DE MÁRMORES E GRANITOS;1287;1287;0;0;0;4;124
COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS DE COLCHOARIA;956;956;0;0;0;17;100
"COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS";2732;2732;0;0;0;19;239
COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMÉSTICO;4939;4939;0;0;0;121;485
COMÉRCIO ATACADISTA DE OUTROS PRODUTOS QUÍMICOS E PETROQUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE;918;918;0;0;0;5;133
COMÉRCIO ATACADISTA DE PAPEL E PAPELÃO EM BRUTO;303;303;0;0;0;3;39
COMÉRCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;1337;1337;0;0;0;17;209
COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL;7160;7160;0;0;0;57;936
COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;479;479;0;0;0;5;63
COMÉRCIO ATACADISTA DE PRODUTOS DA EXTRAÇÃO MINERAL, EXCETO COMBUSTÍVEIS;752;752;0;0;0;6;63
COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL;480;480;0;0;0;3;63
COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR;2576;2576;0;0;0;27;291
COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVAÇÃO DOMICILIAR, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;219;219;0;0;0;3;31
COMÉRCIO ATACADISTA DE PRODUTOS ODONTOLÓGICOS;1149;1149;0;0;0;7;133
COMÉRCIO ATACADISTA DE PRODUTOS SIDERÚRGICOS E METALÚRGICOS, EXCETO PARA CONSTRUÇÃO;725;725;0;0;0;6;57
